POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
56,25,0.3827160446578266,0.10037174708751952,9.841463414634147,0.42379182156133827,4.106102094478194,9.841463414634147,342,807,1850,11,7.265179677819083
41,22,0.30158729680020163,0.1088082899675159,9.813559322033898,0.42487046632124353,4.0953719153420565,9.813559322033898,246,579,1335,13,7.333333333333333
22,11,0.33333332323232356,0.09792284837411618,7.326086956521739,0.4362017804154303,3.1049154947748683,7.326086956521739,147,337,744,7,7.2195845697329375
32,13,0.4222222128395064,0.13761467847824257,9.083333333333334,0.363914373088685,3.778899082568808,9.083333333333334,119,327,687,0,6.90519877675841
62,33,0.3052631546814405,0.10215053752456932,10.813953488372093,0.432258064516129,4.4984846211552885,10.813953488372093,402,930,2179,5,7.2924731182795695
46,55,-0.08910891000882268,0.10181451602639666,8.626086956521739,0.40725806451612906,3.613338008415148,8.626086956521739,404,992,2220,0,7.118951612903226
31,22,0.16981131755072987,0.09153713282981497,10.527272727272727,0.5284974093264249,4.422308054639661,10.527272727272727,306,579,1501,8,8.062176165803109
29,27,0.03571428507653063,0.09317803645061891,8.232876712328768,0.39600665557404324,3.4515533471611244,8.232876712328768,238,601,1287,5,6.958402662229617
55,24,0.3924050583239866,0.1198786037634619,8.341772151898734,0.47192716236722304,3.525479725706383,8.341772151898734,311,659,1631,20,7.597875569044006
66,20,0.5348837147106545,0.11590296480336527,8.939759036144578,0.4123989218328841,3.7408631831909847,8.939759036144578,306,742,1703,9,7.433962264150943
24,0,0.999999958333335,0.09374999963378906,11.636363636363637,0.5078125,4.857670454545455,11.636363636363637,130,256,650,0,7.921875
73,39,0.3035714258609694,0.1536351163873318,91.125,0.42661179698216734,36.62064471879287,91.125,311,729,1716,13,7.049382716049383
23,0,0.999999956521741,0.051339285599689095,8.0,0.47098214285714285,3.388392857142857,8.0,211,448,1049,0,7.520089285714286
14,5,0.47368418559556913,0.052341597651951524,8.642857142857142,0.5041322314049587,3.658795749704841,8.642857142857142,183,363,895,0,8.016528925619834
3,4,-0.1428571224489825,0.04827586173602854,11.153846153846153,0.503448275862069,4.662917771883289,11.153846153846153,73,145,392,2,7.896551724137931
23,67,-0.4888888834567902,0.1359516614260549,11.413793103448276,0.4169184290030212,4.732284612980519,11.413793103448276,276,662,1502,2,7.11631419939577
16,14,0.06666666444444451,0.09374999970703125,10.0,0.409375,4.16375,10.0,131,320,723,4,7.10625
54,36,0.1999999977777778,0.1185770749425862,8.25,0.42555994729907776,3.4702239789196314,8.25,323,759,1771,9,7.487483530961792
40,3,0.8604650962682536,0.1327160489730986,7.363636363636363,0.4228395061728395,3.114590347923681,7.363636363636363,137,324,748,3,7.339506172839506
5,0,0.99999980000004,0.0256410255095332,11.470588235294118,0.3333333333333333,4.7215686274509805,11.470588235294118,65,195,395,0,6.666666666666667
23,9,0.4374999863281255,0.058823529303633215,10.88,0.4007352941176471,4.512294117647059,10.88,218,544,1202,1,6.7536764705882355
